,score,human_label
KiDSDR4 J024305.261-281336.56,1.3244791063221157,-1
KiDSDR4 J024221.979-274958.15,0.6360206673193081,-1
KiDSDR4 J224107.170-281237.73,0.9853804746029039,-1
KiDSDR4 J115415.300-005110.70,0.6269810791909329,-1
KiDSDR4 J220520.199-284511.34,2.6946974869240217,0
KiDSDR4 J220700.527-292059.77,2.2204039190818223,-1
KiDSDR4 J110939.237-001016.97,1.0474550984418485,-1
KiDSDR4 J131725.310+024249.61,1.7160346093134673,-1
KiDSDR4 J115613.057-004113.50,0.496568134902665,-1
KiDSDR4 J010649.164-284137.90,1.412428448074954,-1
KiDSDR4 J220659.070-285701.65,0.6218248825841785,-1
KiDSDR4 J131910.637+023226.63,1.465526499119799,-1
KiDSDR4 J024129.869-275057.58,0.643213073769761,-1
KiDSDR4 J224110.796-281449.82,0.6729170728935,-1
KiDSDR4 J115609.890-002312.72,1.0440047265910821,-1
KiDSDR4 J220453.784-292113.38,2.0988577602372596,-1
KiDSDR4 J024315.633-280655.76,0.49857424095349273,-1
KiDSDR4 J024129.006-283721.84,1.5828368354151319,-1
KiDSDR4 J220614.795-284948.26,1.3934986160725416,-1
KiDSDR4 J024151.573-280559.64,2.263201918008578,-1
KiDSDR4 J033122.357-284706.40,1.1066402672922202,-1
KiDSDR4 J104223.370+001519.82,2.182419078293102,-1
KiDSDR4 J111555.997-025204.81,1.007308640217175,-1
KiDSDR4 J115614.536-002013.70,0.7697714449191668,-1
KiDSDR4 J115715.191-002913.54,1.2231403685710993,-1
KiDSDR4 J131729.226+020630.70,0.6061377996084927,-1
KiDSDR4 J220541.003-285851.47,1.1450497799150625,-1
KiDSDR4 J021236.290-280432.46,1.1932408062725506,-1
KiDSDR4 J115408.742-003034.62,2.5820840462388857,0
KiDSDR4 J220718.676-293019.85,1.540731991112195,-1
KiDSDR4 J115407.053-005821.59,2.0507169037320954,-1
KiDSDR4 J023931.792-290524.48,1.2348809459663763,-1
KiDSDR4 J220514.874-292723.88,1.0224008881600275,-1
KiDSDR4 J024433.559-282921.90,0.8513519677455438,-1
KiDSDR4 J115523.183-002646.05,1.4211767930937136,-1
KiDSDR4 J024229.018-282013.20,2.1588448997382845,-1
KiDSDR4 J024308.143-281749.01,1.152480703629574,-1
KiDSDR4 J131700.018+021513.10,1.399426176231787,-1
KiDSDR4 J084415.135+015038.87,1.85245593432516,-1
KiDSDR4 J024149.005-274316.59,1.7738529976222932,-1
KiDSDR4 J033032.470-290535.66,0.4839268054635206,-1
KiDSDR4 J084312.294+010718.56,2.458510239833609,0
KiDSDR4 J220637.058-290758.01,2.5333794634504794,0
KiDSDR4 J084408.526+012800.67,1.1573150094206504,-1
KiDSDR4 J115529.788-004458.59,1.0959155953013306,-1
KiDSDR4 J021158.766-280347.25,1.8420457663203675,-1
KiDSDR4 J110810.645-000511.78,1.920194027016438,-1
KiDSDR4 J021058.951-275313.45,0.7240481018042543,-1
KiDSDR4 J220810.848-291407.09,2.0914293778486055,-1
KiDSDR4 J024318.523-274544.57,1.5296257834936395,-1
KiDSDR4 J131617.958+021248.81,0.9660972460912409,-1
KiDSDR4 J024022.622-282628.03,0.7167200791487315,-1
KiDSDR4 J110657.087-003032.58,2.5809453993186655,0
KiDSDR4 J224105.342-282905.48,1.3932658613736604,-1
KiDSDR4 J023838.813-290738.48,1.2234143198034435,-1
KiDSDR4 J110743.046-001831.59,2.061166231317441,-1
KiDSDR4 J131801.818+020503.76,2.8571023128634794,-1
KiDSDR4 J224249.499-280344.18,1.4392522742936658,-1
KiDSDR4 J084415.088+011129.27,1.260375213839179,-1
KiDSDR4 J004558.739-331451.79,1.1319926848065252,-1
KiDSDR4 J231310.384-344646.65,1.5547418451197323,-1
KiDSDR4 J084249.533+012104.64,0.423009183983811,-1
KiDSDR4 J224148.562-280920.44,1.1299015058124715,-1
KiDSDR4 J220629.838-290437.97,1.5818666667779526,-1
KiDSDR4 J024245.413-274347.60,0.5884727801165566,-1
KiDSDR4 J220806.043-285110.35,3.907369154555406,-1
KiDSDR4 J110604.530-005915.72,0.6948456038083143,-1
KiDSDR4 J084504.679+012308.21,1.8953620778279683,-1
KiDSDR4 J084244.038+010008.38,1.1666962363540803,-1
KiDSDR4 J023959.781-284539.08,1.8422690210842159,-1
KiDSDR4 J115743.064-005231.31,0.8214623577228836,-1
KiDSDR4 J024436.459-281036.74,0.6005243173982662,-1
KiDSDR4 J024230.325-283136.58,1.8936024077300104,-1
KiDSDR4 J115640.619-005906.29,3.0067182497577174,-1
KiDSDR4 J224148.100-283645.34,0.2765527225326418,-1
KiDSDR4 J220604.194-291512.81,2.284644299098253,-1
KiDSDR4 J220421.510-292004.52,0.8088912352194295,-1
KiDSDR4 J084551.165+014545.15,0.8829711306410054,-1
KiDSDR4 J110911.693-000544.60,2.94350937341183,-1
KiDSDR4 J220628.874-290058.33,2.2769342333918408,-1
KiDSDR4 J123554.179+005550.41,1.2476785516237283,-1
KiDSDR4 J084403.689+012008.60,1.939992785233893,-1
KiDSDR4 J024140.744-283639.09,1.039871267376865,-1
KiDSDR4 J110727.729-004505.09,2.2113237578279263,-1
KiDSDR4 J024116.120-290835.58,1.0478769086420134,-1
KiDSDR4 J004346.104-304929.18,1.6301711978210682,-1
KiDSDR4 J021028.850-275145.38,0.348220636763492,-1
KiDSDR4 J024425.631-275422.30,1.4054369784412537,-1
KiDSDR4 J224200.876-282900.32,1.541847666023469,-1
KiDSDR4 J020941.743-274508.54,1.9719290987796236,-1
KiDSDR4 J023920.611-293651.43,2.914273241785605,-1
KiDSDR4 J084357.672+011137.92,2.850439272561067,-1
KiDSDR4 J084456.578+011356.11,3.063010118609629,-1
KiDSDR4 J024059.284-274721.10,2.804827434998951,-1
KiDSDR4 J115610.740-002055.91,1.822927851668657,-1
KiDSDR4 J220757.443-285601.70,0.9842002803911226,-1
KiDSDR4 J224416.777-283710.03,2.85150818979974,-1
KiDSDR4 J220648.208-293248.56,0.9874675648438649,-1
KiDSDR4 J021107.986-281815.31,0.9345424118400167,-1
KiDSDR4 J131701.589+023336.56,3.6687626262656217,-1
KiDSDR4 J115525.025-002705.63,2.745472415764401,0
KiDSDR4 J020939.941-283244.29,2.8758162151259272,-1
KiDSDR4 J224408.938-274629.13,2.223087438108884,-1
KiDSDR4 J131629.905+021225.31,0.3070763419404674,-1
KiDSDR4 J132002.434+022231.04,0.8217595222116021,-1
KiDSDR4 J032933.659-293533.64,1.2901826257407811,-1
KiDSDR4 J224412.907-274918.18,1.6454104657416384,-1
KiDSDR4 J110617.457-004919.78,3.1835707475031265,-1
KiDSDR4 J131704.759+022410.34,1.040409250349113,-1
KiDSDR4 J220719.778-290819.57,0.7153346974010979,-1
KiDSDR4 J220712.078-293743.10,2.163547730619386,-1
KiDSDR4 J032957.535-290542.79,1.3058933446969152,-1
KiDSDR4 J134032.074-003737.83,1.9027611329703014,-1
KiDSDR4 J084443.746+011156.54,1.2552421456646965,-1
KiDSDR4 J220802.737-285227.03,1.831269983596113,-1
KiDSDR4 J233620.260-352554.42,1.9720851205192529,-1
KiDSDR4 J224244.270-280031.46,1.262551583301299,-1
KiDSDR4 J110916.536-003701.79,0.6712909295174925,-1
KiDSDR4 J033114.169-290040.24,0.8117372672815802,-1
KiDSDR4 J224407.354-283557.58,2.1005115404138452,-1
KiDSDR4 J131834.719+022025.34,2.049712938249814,-1
KiDSDR4 J084331.506+015459.71,1.7645797783425274,-1
KiDSDR4 J024129.235-292924.60,2.082407996080172,-1
KiDSDR4 J084211.461+010847.81,1.258601228844304,-1
KiDSDR4 J032805.570-285550.89,0.8922512313642786,-1
KiDSDR4 J224103.361-281727.84,2.2627925957747412,-1
KiDSDR4 J115656.989-000337.65,1.8557651391616004,-1
KiDSDR4 J084408.941+011251.45,2.5268234395240223,0
KiDSDR4 J084248.259+012956.55,2.233314491797474,-1
KiDSDR4 J110719.949-005448.84,1.9198204312431362,-1
KiDSDR4 J084249.256+013755.63,1.5967105380809081,-1
KiDSDR4 J110900.287-003321.77,0.6302937749504011,-1
KiDSDR4 J033057.514-294019.49,0.6072670356853891,-1
KiDSDR4 J220403.533-290055.15,1.5822965178817334,-1
KiDSDR4 J033110.988-284832.38,1.2106659227306715,-1
KiDSDR4 J224143.889-281456.31,1.1162801510498583,-1
KiDSDR4 J224246.941-280106.61,1.1260141758583913,-1
KiDSDR4 J220400.704-291606.71,2.1737427342413156,-1
KiDSDR4 J224104.163-274623.01,0.4673944807032313,-1
KiDSDR4 J024137.187-285814.17,0.8849078995593278,-1
