,score,human_label
KiDSDR4 J084447.779+011240.20,3.553597800937077,-1
KiDSDR4 J115640.619-005906.29,2.1138198556544427,-1
KiDSDR4 J110920.503-003217.17,1.960595208122965,-1
KiDSDR4 J024432.997-275906.64,3.1892929474648044,0
KiDSDR4 J084550.101+013137.89,2.321076368187688,-1
KiDSDR4 J220453.927-293216.14,1.8141164137313084,-1
KiDSDR4 J224249.560-284015.11,1.7064592191876338,-1
KiDSDR4 J084230.153+013430.40,1.8067970276401066,-1
KiDSDR4 J024351.574-274717.33,1.5688492973113428,-1
KiDSDR4 J220522.613-284306.72,1.3237680577114668,-1
KiDSDR4 J220405.755-292627.63,0.8242861317682333,-1
KiDSDR4 J084334.805+013005.90,0.7221464979627856,-1
KiDSDR4 J110647.983-003715.46,0.7332545120436236,-1
KiDSDR4 J220815.097-284315.94,1.4665959207765882,-1
KiDSDR4 J084255.516+010020.38,1.3817271008756598,-1
KiDSDR4 J021255.592-284031.22,1.4357403975965135,-1
KiDSDR4 J084552.961+015323.25,2.0354519495744245,-1
KiDSDR4 J084553.737+012217.37,1.3393375864203518,-1
KiDSDR4 J115454.252-003606.92,2.7374660895382377,-1
KiDSDR4 J220701.244-292425.25,3.3205764850418213,-1
KiDSDR4 J033142.327-292308.42,2.4999386161268284,-1
KiDSDR4 J110759.576-004034.53,0.1576763398303857,-1
KiDSDR4 J033134.995-284747.91,3.5989654264528994,-1
KiDSDR4 J023822.424-284243.74,2.181016814120826,-1
KiDSDR4 J115636.285-001921.33,3.466901157339852,-1
KiDSDR4 J084423.454+014814.23,2.161341481914027,-1
KiDSDR4 J115412.731-003154.30,1.0661250614222215,-1
KiDSDR4 J224228.641-283501.35,2.5440206457706074,-1
KiDSDR4 J131715.216+020853.90,2.194912459281131,-1
KiDSDR4 J115737.813-000607.67,3.8028270554390904,-1
KiDSDR4 J021148.363-275445.34,2.656628846305173,-1
KiDSDR4 J220409.218-292228.86,0.3928917111807155,-1
KiDSDR4 J220357.717-284432.74,0.449660554196867,-1
KiDSDR4 J115732.869-002442.58,1.1494882132972162,-1
KiDSDR4 J220817.063-284915.66,0.6626037187457484,-1
KiDSDR4 J224219.910-283223.08,2.944524252078381,0
KiDSDR4 J132004.086+021727.58,2.8388140708276013,-1
KiDSDR4 J131718.676+022524.49,1.875416961565926,-1
KiDSDR4 J033023.968-285530.30,1.8936271602127597,-1
KiDSDR4 J220514.874-292723.88,2.466179438703802,-1
KiDSDR4 J021133.407-281103.97,3.946114866000568,-1
KiDSDR4 J033110.644-284838.45,0.80360737277394,-1
KiDSDR4 J110642.880-005528.85,1.8251619182932952,-1
KiDSDR4 J021006.931-281505.83,0.9996528323328648,-1
KiDSDR4 J224510.014-274308.82,2.351729915456994,-1
KiDSDR4 J220813.360-292131.70,2.340784732914184,-1
KiDSDR4 J021243.551-275249.37,1.5198440054238456,-1
KiDSDR4 J033043.870-293618.27,3.5485162829160823,-1
KiDSDR4 J023841.294-291501.19,1.536322290768729,-1
KiDSDR4 J032934.477-285050.91,2.5458874968596583,-1
KiDSDR4 J224116.645-284030.70,2.147410337242873,-1
KiDSDR4 J024102.733-282157.91,1.5911225286877309,-1
KiDSDR4 J224311.076-280513.05,0.8967534729141229,-1
KiDSDR4 J115659.096-001740.54,2.359007623376027,-1
KiDSDR4 J224321.337-283251.45,1.3264279928661225,-1
KiDSDR4 J220349.800-284117.51,2.181915083515173,-1
KiDSDR4 J032805.570-285550.89,1.2938678051885288,-1
KiDSDR4 J024019.301-283019.88,2.5053175520994233,-1
KiDSDR4 J110935.103-001200.68,3.015909061557854,0
KiDSDR4 J224306.333-275656.81,1.8780966758517614,-1
KiDSDR4 J021248.882-280600.44,1.9906777811277832,-1
KiDSDR4 J024122.758-283952.50,2.5017865701940907,-1
KiDSDR4 J084455.559+011132.64,2.483139259479638,-1
KiDSDR4 J220729.080-292549.49,0.7090522196006495,-1
KiDSDR4 J033135.239-292428.47,1.0994162973182813,-1
KiDSDR4 J115603.634-002914.87,1.9589294851615704,-1
KiDSDR4 J024322.235-280233.42,0.9885522960135836,-1
KiDSDR4 J023741.359-293710.28,2.26655861674289,-1
KiDSDR4 J224436.515-281056.58,1.04457194731791,-1
KiDSDR4 J024132.380-291617.89,1.6699082635293643,-1
KiDSDR4 J131648.000+021839.72,2.0507449794451307,-1
KiDSDR4 J115727.585-000026.20,0.5814595407069925,-1
KiDSDR4 J024420.279-282007.87,0.4871230276537064,-1
KiDSDR4 J033133.139-285641.17,3.9370612521144523,-1
KiDSDR4 J084240.716+011811.05,3.177505263033317,0
KiDSDR4 J024352.927-283239.07,3.1955963276885564,0
KiDSDR4 J220440.706-292744.25,1.3379994914389695,-1
KiDSDR4 J024135.558-285839.59,2.8916026230345735,0
KiDSDR4 J024102.873-274842.81,1.316768439356904,-1
KiDSDR4 J024044.666-280119.70,2.0401797496514087,-1
KiDSDR4 J084404.515+013851.77,2.433980542669176,-1
KiDSDR4 J084341.968+014625.77,1.18505653577559,-1
KiDSDR4 J084452.204+014836.33,0.9726894246678712,-1
KiDSDR4 J084425.889+012646.18,1.9324905779509107,-1
KiDSDR4 J220544.528-293650.95,0.4446266670324071,-1
KiDSDR4 J220640.673-291109.07,1.0562972614091233,-1
KiDSDR4 J220408.038-290430.06,0.8142797546976475,-1
KiDSDR4 J115426.561-005401.58,2.767061818229166,-1
KiDSDR4 J110827.970-004206.12,1.6615027475802853,-1
KiDSDR4 J224115.430-282911.37,1.1929497872923787,-1
KiDSDR4 J110700.323-005736.96,1.8294704093606786,-1
KiDSDR4 J224439.209-275020.51,1.7541850048867378,-1
KiDSDR4 J084448.991+011254.16,1.8651938487928468,-1
KiDSDR4 J020857.137-282054.32,2.6593370821639244,-1
KiDSDR4 J033037.581-284359.92,2.2103339048716446,-1
KiDSDR4 J021305.564-280742.94,1.9753912812671943,-1
KiDSDR4 J084418.967+010448.04,1.6921372739490113,-1
KiDSDR4 J084551.165+014545.15,2.761192799101209,-1
KiDSDR4 J021245.336-281328.80,0.884875729182628,-1
KiDSDR4 J115754.115-002608.64,0.23182231753080143,-1
KiDSDR4 J024426.318-280631.91,1.0424460684491208,-1
KiDSDR4 J220743.028-291725.32,1.3552248135838216,-1
KiDSDR4 J084511.140+012158.09,3.546550801958787,-1
KiDSDR4 J084344.387+010445.05,1.01075024675473,-1
KiDSDR4 J224128.554-274625.42,3.0672503838889456,0
KiDSDR4 J131921.453+021718.37,1.7618186183423552,-1
KiDSDR4 J024353.539-280930.98,4.396657958587543,-1
KiDSDR4 J224424.208-282627.81,2.2248174605151614,-1
KiDSDR4 J023719.450-291116.47,2.894383029777452,0
KiDSDR4 J024129.235-292924.60,2.5169011945314668,-1
KiDSDR4 J084510.590+013933.87,2.4740772998948604,-1
KiDSDR4 J023924.897-291532.53,2.5489160517181015,-1
KiDSDR4 J023836.243-290911.56,1.43654437593892,-1
KiDSDR4 J220432.799-292917.68,2.7041306189774157,-1
KiDSDR4 J024442.003-281337.13,3.113769617354694,0
KiDSDR4 J224344.908-284053.12,1.0458315338625204,-1
KiDSDR4 J110723.627-005316.73,2.70953822450749,-1
KiDSDR4 J024358.687-283843.01,3.151989989448014,0
KiDSDR4 J220719.778-290819.57,3.24008166277499,0
KiDSDR4 J023826.006-290614.42,1.5517664419236596,-1
KiDSDR4 J224434.184-284049.65,2.0322856053581364,-1
KiDSDR4 J224439.987-280610.72,1.296383564168047,-1
KiDSDR4 J021031.672-282540.15,1.196201782373355,-1
KiDSDR4 J084222.400+011842.52,1.6566584513645743,-1
KiDSDR4 J033138.090-284249.89,2.537662485977757,-1
KiDSDR4 J032758.489-290526.07,0.21896893073899107,-1
KiDSDR4 J084559.111+012450.26,1.7906534483425314,-1
KiDSDR4 J132003.825+020241.72,1.4280321923910342,-1
KiDSDR4 J115409.710-005241.00,1.506445351490818,-1
KiDSDR4 J220736.620-293348.45,2.9031969382787435,0
KiDSDR4 J015928.393-330950.36,0.9223964617018464,-1
KiDSDR4 J115658.623-003935.53,1.6045794964008575,-1
KiDSDR4 J220349.812-285934.33,1.6363998443222534,-1
KiDSDR4 J224104.007-283813.68,1.702810946208375,-1
KiDSDR4 J131901.232+025113.46,3.142898186939497,0
KiDSDR4 J115612.135-005426.97,3.2907209620681424,-1
KiDSDR4 J131952.319+022539.95,1.792399569358003,-1
KiDSDR4 J110607.351-003341.21,1.7105118403298425,-1
KiDSDR4 J084449.339+010002.57,1.544971797995582,-1
KiDSDR4 J110634.997-005805.86,1.2918806495115895,-1
KiDSDR4 J033042.968-291243.94,0.8386916714827186,-1
KiDSDR4 J005540.416-290042.46,2.8184238392778824,-1
KiDSDR4 J110928.866-001449.77,2.712864650852363,-1
KiDSDR4 J115702.885-000001.90,1.0756489241740734,-1
KiDSDR4 J220657.724-285405.68,0.6331851491244596,-1
KiDSDR4 J121234.927+000754.48,2.467989510652569,-1
KiDSDR4 J032941.415-291530.79,3.6820663584987043,-1
KiDSDR4 J115512.138-000243.51,1.3156504350274065,-1
KiDSDR4 J023901.104-291801.65,2.49507043634866,-1
KiDSDR4 J023746.812-293021.44,1.4862434142716934,-1
KiDSDR4 J024010.710-285822.58,1.62708198736965,-1
KiDSDR4 J220637.058-290758.01,0.480714437455782,-1
KiDSDR4 J110857.786-000458.34,1.2175221338225495,-1
KiDSDR4 J224100.897-283743.41,3.2707274363162933,-1
KiDSDR4 J224117.182-274648.22,1.268492364625786,-1
KiDSDR4 J033008.599-290839.15,1.4410716440079085,-1
KiDSDR4 J110817.640-003837.66,2.065629787451175,-1
KiDSDR4 J084201.224+011210.15,1.232152176195501,-1
KiDSDR4 J021210.504-283912.73,0.7036938602146754,-1
KiDSDR4 J024332.958-275632.53,1.9342041412173658,-1
KiDSDR4 J084244.691+010030.54,2.9516087544650382,0
KiDSDR4 J110604.530-005915.72,2.9871501367708344,0
KiDSDR4 J024136.227-285539.13,1.027910374196657,-1
KiDSDR4 J024118.730-290833.60,3.04024788210282,0
KiDSDR4 J024128.624-283732.29,2.866576087178832,-1
KiDSDR4 J224305.782-282034.70,1.477293850116389,-1
KiDSDR4 J115653.129-000627.30,1.9407795549012854,-1
KiDSDR4 J023903.147-285358.16,2.6885952115529497,-1
KiDSDR4 J222129.164-345640.34,2.018920377272996,-1
KiDSDR4 J224124.493-283152.20,2.128808920847466,-1
KiDSDR4 J224436.712-280449.88,1.2232211500931738,-1
KiDSDR4 J023714.868-291002.54,1.7446431582625817,-1
KiDSDR4 J131623.568+022504.29,1.804155697337141,-1
KiDSDR4 J021258.683-274630.39,0.6157221320446742,-1
KiDSDR4 J115419.318-003525.35,1.5349418403115551,-1
KiDSDR4 J024253.340-282653.95,1.7643520103035641,-1
KiDSDR4 J115630.270-000627.53,2.9838267920195256,0
KiDSDR4 J115705.772-003603.44,2.7505340832729734,-1
KiDSDR4 J020902.890-275818.31,2.4309594409008457,-1
KiDSDR4 J224307.434-282249.06,0.8144763486427217,-1
KiDSDR4 J220522.287-292857.99,2.70907489183243,-1
KiDSDR4 J024041.975-284115.96,0.8551271385613983,-1
KiDSDR4 J220432.216-292546.30,0.8593565142157582,-1
KiDSDR4 J023803.419-291430.96,1.893512776020971,-1
KiDSDR4 J013403.712-303226.82,1.0084628276128744,-1
KiDSDR4 J032739.748-293624.84,0.8507114399031684,-1
KiDSDR4 J110716.077-005637.25,2.1602068765411477,-1
KiDSDR4 J024305.261-281336.56,0.8860226017649726,-1
KiDSDR4 J110723.178-005411.10,0.9544105544909189,-1
KiDSDR4 J024416.760-281115.78,1.676111000020246,-1
KiDSDR4 J131621.385+020015.34,1.1770967570008024,-1
KiDSDR4 J115612.668-000906.27,1.3090229452214368,-1
KiDSDR4 J084412.740+013244.43,2.527979986792858,-1
KiDSDR4 J224356.391-283421.21,0.8199953740656892,-1
KiDSDR4 J110709.669-004416.30,3.327757811510261,-1
KiDSDR4 J110859.524-003455.84,2.5167087035285314,-1
KiDSDR4 J084415.088+011129.27,0.9618095605391973,-1
KiDSDR4 J115611.773-002101.26,2.299287893042559,-1
KiDSDR4 J122456.016+005048.05,2.2524925195941132,-1
KiDSDR4 J084331.506+015459.71,3.0395175791000266,0
KiDSDR4 J084319.530+011950.55,2.7074159730918312,-1
KiDSDR4 J032851.045-292348.85,1.0419404469900937,-1
KiDSDR4 J224332.739-283100.52,2.4951481931298365,-1
KiDSDR4 J024055.573-284222.83,3.7070044050401636,-1
