,score,human_label
KiDSDR4 J084447.779+011240.20,0.508672748205703,-1
KiDSDR4 J115640.619-005906.29,3.257030845443722,-1
KiDSDR4 J110920.503-003217.17,1.3017678772104906,-1
KiDSDR4 J024432.997-275906.64,1.9640474220758508,-1
KiDSDR4 J084550.101+013137.89,1.2702795805768723,-1
KiDSDR4 J220453.927-293216.14,2.8573854985964426,0
KiDSDR4 J224249.560-284015.11,0.44123870955338373,-1
KiDSDR4 J084230.153+013430.40,2.813881370480163,0
KiDSDR4 J024351.574-274717.33,2.5516374946288805,-1
KiDSDR4 J220522.613-284306.72,1.0026635709596126,-1
KiDSDR4 J220405.755-292627.63,0.8237851493290952,-1
KiDSDR4 J084334.805+013005.90,2.853146364863175,0
KiDSDR4 J110647.983-003715.46,2.548002719566479,-1
KiDSDR4 J220815.097-284315.94,0.9248722814702589,-1
KiDSDR4 J084255.516+010020.38,0.4341365926769039,-1
KiDSDR4 J021255.592-284031.22,0.7882233433749407,-1
KiDSDR4 J084552.961+015323.25,3.0551855406398074,-1
KiDSDR4 J084553.737+012217.37,1.4025304123225213,-1
KiDSDR4 J115454.252-003606.92,1.6212318606799072,-1
KiDSDR4 J220701.244-292425.25,0.4235511664145008,-1
KiDSDR4 J033142.327-292308.42,1.0721069222419577,-1
KiDSDR4 J110759.576-004034.53,2.9958143354822773,0
KiDSDR4 J033134.995-284747.91,1.028894888185943,-1
KiDSDR4 J023822.424-284243.74,0.3873474716272189,-1
KiDSDR4 J115636.285-001921.33,2.2142681034347373,-1
KiDSDR4 J084423.454+014814.23,2.7044065543457187,0
KiDSDR4 J115412.731-003154.30,1.9441151277267725,-1
KiDSDR4 J224228.641-283501.35,2.4361518276030383,-1
KiDSDR4 J131715.216+020853.90,0.4378081177006917,-1
KiDSDR4 J115737.813-000607.67,0.6723913099035354,-1
KiDSDR4 J021148.363-275445.34,1.8163911898625542,-1
KiDSDR4 J220409.218-292228.86,0.7521879075649772,-1
KiDSDR4 J220357.717-284432.74,1.2516077409922022,-1
KiDSDR4 J115732.869-002442.58,1.3442623598289831,-1
KiDSDR4 J220817.063-284915.66,0.9009903850396284,-1
KiDSDR4 J224219.910-283223.08,0.7430534422656593,-1
KiDSDR4 J132004.086+021727.58,0.5302667123102616,-1
KiDSDR4 J131718.676+022524.49,0.7424860067166098,-1
KiDSDR4 J033023.968-285530.30,0.6504180796882407,-1
KiDSDR4 J220514.874-292723.88,1.1410498919885157,-1
KiDSDR4 J021133.407-281103.97,0.5580039649087488,-1
KiDSDR4 J033110.644-284838.45,3.219207460749073,-1
KiDSDR4 J110642.880-005528.85,1.1410087025002387,-1
KiDSDR4 J021006.931-281505.83,1.6276041340035492,-1
KiDSDR4 J224510.014-274308.82,0.572943834410363,-1
KiDSDR4 J220813.360-292131.70,1.2575485152396504,-1
KiDSDR4 J021243.551-275249.37,0.9201653292069026,-1
KiDSDR4 J033043.870-293618.27,1.5387863984078964,-1
KiDSDR4 J023841.294-291501.19,0.872624858594944,-1
KiDSDR4 J032934.477-285050.91,0.45660848531952286,-1
KiDSDR4 J224116.645-284030.70,1.4373755585206023,-1
KiDSDR4 J024102.733-282157.91,1.014759828209554,-1
KiDSDR4 J224311.076-280513.05,3.343396723781141,-1
KiDSDR4 J115659.096-001740.54,2.776509686532823,0
KiDSDR4 J224321.337-283251.45,0.917052510636762,-1
KiDSDR4 J220349.800-284117.51,0.9822020311014505,-1
KiDSDR4 J032805.570-285550.89,1.5894599462099754,-1
KiDSDR4 J024019.301-283019.88,2.776504307772088,0
KiDSDR4 J110935.103-001200.68,1.2708744275057977,-1
KiDSDR4 J224306.333-275656.81,0.2840735452915593,-1
KiDSDR4 J021248.882-280600.44,0.45349850406463904,-1
KiDSDR4 J024122.758-283952.50,2.567275067138741,-1
KiDSDR4 J084455.559+011132.64,1.0137109494230971,-1
KiDSDR4 J220729.080-292549.49,0.4340396380288926,-1
KiDSDR4 J033135.239-292428.47,1.1550316725115126,-1
KiDSDR4 J115603.634-002914.87,3.232406687697856,-1
KiDSDR4 J024322.235-280233.42,3.7683744545800963,-1
KiDSDR4 J023741.359-293710.28,1.2215918113075628,-1
KiDSDR4 J224436.515-281056.58,1.4901036349313652,-1
KiDSDR4 J024132.380-291617.89,1.481816014817618,-1
KiDSDR4 J131648.000+021839.72,3.681343882511051,-1
KiDSDR4 J115727.585-000026.20,1.6873339236129439,-1
KiDSDR4 J024420.279-282007.87,1.4835667125508443,-1
KiDSDR4 J033133.139-285641.17,1.2444366057640752,-1
KiDSDR4 J084240.716+011811.05,1.6407482483487847,-1
KiDSDR4 J024352.927-283239.07,1.3153890954268488,-1
KiDSDR4 J220440.706-292744.25,2.3519155998645487,-1
KiDSDR4 J024135.558-285839.59,0.40801107944365067,-1
KiDSDR4 J024102.873-274842.81,1.4257971741481095,-1
KiDSDR4 J024044.666-280119.70,1.4231025134024649,-1
KiDSDR4 J084404.515+013851.77,0.4706086889418458,-1
KiDSDR4 J084341.968+014625.77,1.1844760297990489,-1
KiDSDR4 J084452.204+014836.33,0.5883718506969193,-1
KiDSDR4 J084425.889+012646.18,2.2905109713392973,-1
KiDSDR4 J220544.528-293650.95,0.7631542391289426,-1
KiDSDR4 J220640.673-291109.07,1.363300696997843,-1
KiDSDR4 J220408.038-290430.06,3.0928127228352107,-1
KiDSDR4 J115426.561-005401.58,3.3499685941338346,-1
KiDSDR4 J110827.970-004206.12,2.09265127965783,-1
KiDSDR4 J224115.430-282911.37,1.2144493557534246,-1
KiDSDR4 J110700.323-005736.96,1.524963652609629,-1
KiDSDR4 J224439.209-275020.51,1.3040096508256793,-1
KiDSDR4 J084448.991+011254.16,1.7254285678086445,-1
KiDSDR4 J020857.137-282054.32,0.6631091199558747,-1
KiDSDR4 J033037.581-284359.92,1.679632243325882,-1
KiDSDR4 J021305.564-280742.94,3.2497991784224016,-1
KiDSDR4 J084418.967+010448.04,0.6081716954451992,-1
KiDSDR4 J084551.165+014545.15,1.3753020080544534,-1
KiDSDR4 J021245.336-281328.80,0.9666894139757922,-1
KiDSDR4 J115754.115-002608.64,2.6245018919674448,-1
KiDSDR4 J024426.318-280631.91,2.0260899363215197,-1
KiDSDR4 J220743.028-291725.32,1.1942006869231052,-1
KiDSDR4 J084511.140+012158.09,0.720284639947392,-1
KiDSDR4 J084344.387+010445.05,1.3645320369612841,-1
KiDSDR4 J224128.554-274625.42,1.7036570048154445,-1
KiDSDR4 J131921.453+021718.37,1.828729677796892,-1
KiDSDR4 J024353.539-280930.98,0.15338737050367782,-1
KiDSDR4 J224424.208-282627.81,1.9545719408243571,-1
KiDSDR4 J023719.450-291116.47,2.439294996352703,-1
KiDSDR4 J024129.235-292924.60,2.516432812363073,-1
KiDSDR4 J084510.590+013933.87,3.573313397772773,-1
KiDSDR4 J023924.897-291532.53,1.5946550296619244,-1
KiDSDR4 J023836.243-290911.56,0.8339941549815129,-1
KiDSDR4 J220432.799-292917.68,1.7758840082239982,-1
KiDSDR4 J024442.003-281337.13,1.2972519919138454,-1
KiDSDR4 J224344.908-284053.12,2.398153160183054,-1
KiDSDR4 J110723.627-005316.73,1.0136989616752905,-1
KiDSDR4 J024358.687-283843.01,2.65544448183756,0
KiDSDR4 J220719.778-290819.57,1.338499701667567,-1
KiDSDR4 J023826.006-290614.42,1.0222927720821424,-1
KiDSDR4 J224434.184-284049.65,1.2161400301229084,-1
KiDSDR4 J224439.987-280610.72,2.058812172727758,-1
KiDSDR4 J021031.672-282540.15,2.1416761798872854,-1
KiDSDR4 J084222.400+011842.52,3.7911482042885094,-1
KiDSDR4 J033138.090-284249.89,1.161390937871934,-1
KiDSDR4 J032758.489-290526.07,2.4522077369479454,-1
KiDSDR4 J084559.111+012450.26,2.2005505777632703,-1
KiDSDR4 J132003.825+020241.72,2.2648854153007707,-1
KiDSDR4 J115409.710-005241.00,0.9588542917293478,-1
KiDSDR4 J220736.620-293348.45,1.5854059562116085,-1
KiDSDR4 J015928.393-330950.36,1.7858380496607733,-1
KiDSDR4 J115658.623-003935.53,4.161052723967151,-1
KiDSDR4 J220349.812-285934.33,0.5418221871670091,-1
KiDSDR4 J224104.007-283813.68,1.8528560628691348,-1
KiDSDR4 J131901.232+025113.46,1.383059356146209,-1
KiDSDR4 J115612.135-005426.97,1.0694218968545404,-1
KiDSDR4 J131952.319+022539.95,1.3103125480978801,-1
KiDSDR4 J110607.351-003341.21,1.2843876565866519,-1
KiDSDR4 J084449.339+010002.57,3.2820727929549243,-1
KiDSDR4 J110634.997-005805.86,1.217192237556338,-1
KiDSDR4 J033042.968-291243.94,0.790672220294884,-1
KiDSDR4 J005540.416-290042.46,1.3569379009369258,-1
KiDSDR4 J110928.866-001449.77,1.2252919720553803,-1
KiDSDR4 J115702.885-000001.90,1.9859426346532643,-1
KiDSDR4 J220657.724-285405.68,1.638678784084814,-1
KiDSDR4 J121234.927+000754.48,1.403689771582884,-1
KiDSDR4 J032941.415-291530.79,1.3768931486086764,-1
KiDSDR4 J115512.138-000243.51,2.049997861538088,-1
KiDSDR4 J023901.104-291801.65,3.046091073065411,-1
KiDSDR4 J023746.812-293021.44,0.47058505755225055,-1
KiDSDR4 J024010.710-285822.58,2.9495488232865967,0
KiDSDR4 J220637.058-290758.01,2.44660723122083,-1
KiDSDR4 J110857.786-000458.34,0.6379383267594159,-1
KiDSDR4 J224100.897-283743.41,3.02506495432457,0
KiDSDR4 J224117.182-274648.22,0.6965086391874836,-1
KiDSDR4 J033008.599-290839.15,4.363259310400147,-1
KiDSDR4 J110817.640-003837.66,0.5283009940974853,-1
KiDSDR4 J084201.224+011210.15,1.0803405392019316,-1
KiDSDR4 J021210.504-283912.73,1.6997729196100635,-1
KiDSDR4 J024332.958-275632.53,0.5735741158017684,-1
KiDSDR4 J084244.691+010030.54,1.1052722154426033,-1
KiDSDR4 J110604.530-005915.72,0.7870722228874377,-1
KiDSDR4 J024136.227-285539.13,0.5969797399091623,-1
KiDSDR4 J024118.730-290833.60,2.5809140931120833,-1
KiDSDR4 J024128.624-283732.29,1.489818479172287,-1
KiDSDR4 J224305.782-282034.70,0.9134296987975093,-1
KiDSDR4 J115653.129-000627.30,2.1050066250461676,-1
KiDSDR4 J023903.147-285358.16,0.7321362323801434,-1
KiDSDR4 J222129.164-345640.34,0.9872629286287381,-1
KiDSDR4 J224124.493-283152.20,0.7428931036173265,-1
KiDSDR4 J224436.712-280449.88,1.815065822760274,-1
KiDSDR4 J023714.868-291002.54,1.6683277322373977,-1
KiDSDR4 J131623.568+022504.29,0.9454894614128115,-1
KiDSDR4 J021258.683-274630.39,0.9616557807900997,-1
KiDSDR4 J115419.318-003525.35,1.7533404119340033,-1
KiDSDR4 J024253.340-282653.95,1.175641906746546,-1
KiDSDR4 J115630.270-000627.53,1.563641409950147,-1
KiDSDR4 J115705.772-003603.44,2.5822075568184215,-1
