,score,human_label
KiDSDR4 J024305.261-281336.56,2.9485325325049043,0
KiDSDR4 J024221.979-274958.15,2.8150217183295267,-1
KiDSDR4 J224107.170-281237.73,1.6652584738851854,-1
KiDSDR4 J115415.300-005110.70,1.4905299310583828,-1
KiDSDR4 J220520.199-284511.34,1.6644027432908497,-1
KiDSDR4 J220700.527-292059.77,1.9368849534954233,-1
KiDSDR4 J110939.237-001016.97,2.7435817570343835,-1
KiDSDR4 J131725.310+024249.61,1.5979064606108107,-1
KiDSDR4 J115613.057-004113.50,1.0115620160973204,-1
KiDSDR4 J010649.164-284137.90,2.586742514459803,-1
KiDSDR4 J220659.070-285701.65,2.1054996525074037,-1
KiDSDR4 J131910.637+023226.63,1.5560170050147981,-1
KiDSDR4 J024129.869-275057.58,2.7629096455414057,-1
KiDSDR4 J224110.796-281449.82,3.3688180013955007,-1
KiDSDR4 J115609.890-002312.72,3.003448147785794,0
KiDSDR4 J220453.784-292113.38,3.1951518861822055,0
KiDSDR4 J024315.633-280655.76,1.7264820429851708,-1
KiDSDR4 J024129.006-283721.84,1.0413906204176622,-1
KiDSDR4 J220614.795-284948.26,2.976848040736939,0
KiDSDR4 J024151.573-280559.64,2.577932449665459,-1
KiDSDR4 J033122.357-284706.40,1.788906974501597,-1
KiDSDR4 J104223.370+001519.82,2.4007801992775524,-1
KiDSDR4 J111555.997-025204.81,1.6642663383237377,-1
KiDSDR4 J115614.536-002013.70,1.5591020284657564,-1
KiDSDR4 J115715.191-002913.54,0.5972073870754241,-1
KiDSDR4 J131729.226+020630.70,3.113465549355496,0
KiDSDR4 J220541.003-285851.47,2.4110053815010275,-1
KiDSDR4 J021236.290-280432.46,1.7922545622413462,-1
KiDSDR4 J115408.742-003034.62,2.0668346440782437,-1
KiDSDR4 J220718.676-293019.85,1.6300037776221383,-1
KiDSDR4 J115407.053-005821.59,0.8835881207854107,-1
KiDSDR4 J023931.792-290524.48,2.825161117214326,0
KiDSDR4 J220514.874-292723.88,1.7012487738520252,-1
KiDSDR4 J024433.559-282921.90,1.3764581312068327,-1
KiDSDR4 J115523.183-002646.05,1.8762544190531736,-1
KiDSDR4 J024229.018-282013.20,4.219711712903409,-1
KiDSDR4 J024308.143-281749.01,2.4561100704861865,-1
KiDSDR4 J131700.018+021513.10,2.5245291918707324,-1
KiDSDR4 J084415.135+015038.87,1.0884231673231488,-1
KiDSDR4 J024149.005-274316.59,1.5202496395322016,-1
KiDSDR4 J033032.470-290535.66,0.5123720041024331,-1
