,score,human_label
KiDSDR4 J115644.296-005226.86,3.309892495339336,0
KiDSDR4 J021225.708-282314.82,1.408290789877486,-1
KiDSDR4 J024303.533-281134.36,0.9084970613652914,-1
KiDSDR4 J024248.358-283909.48,1.353903825106316,-1
KiDSDR4 J220750.730-293547.25,0.9127471037818811,-1
KiDSDR4 J024125.898-283014.05,2.7540495811304475,-1
KiDSDR4 J084251.058+015154.81,3.5564638483632707,0
KiDSDR4 J023822.986-292922.39,1.625996216520238,-1
KiDSDR4 J024323.620-275404.57,1.4811548650595734,-1
KiDSDR4 J231645.663-292343.20,1.913932224578642,-1
KiDSDR4 J220706.448-284443.27,2.0065406042518936,-1
KiDSDR4 J224344.908-284053.12,2.239016865562184,-1
KiDSDR4 J020927.342-275020.65,0.9312891170499028,-1
KiDSDR4 J131837.250+020800.74,2.8208508190075885,-1
KiDSDR4 J131741.695+021420.01,1.8362735348070602,-1
KiDSDR4 J023834.933-291455.41,1.0178704398535876,-1
KiDSDR4 J084448.911+010001.45,1.9543879684317995,-1
KiDSDR4 J224204.985-283752.31,2.3685417148639085,-1
KiDSDR4 J024413.862-274518.27,1.3269452811041202,-1
KiDSDR4 J220646.322-290422.44,1.854801146656618,-1
KiDSDR4 J144232.511+001730.68,1.5579533619860673,-1
KiDSDR4 J220718.676-293019.85,1.7772969438418185,-1
KiDSDR4 J020939.941-283244.29,2.7268990024688624,-1
KiDSDR4 J020857.917-275951.98,1.5911145357541585,-1
KiDSDR4 J000820.374-342718.99,4.0971989115833365,5
KiDSDR4 J110950.407-005936.20,1.8571822667310935,-1
KiDSDR4 J233105.551-335829.71,1.55687642334562,-1
KiDSDR4 J024301.595-283124.58,2.6166815066300098,-1
KiDSDR4 J110723.178-005411.10,2.546343434204705,-1
KiDSDR4 J110629.672-003931.31,1.0825768161316747,-1
KiDSDR4 J115517.423-004031.71,3.2583239823719894,0
KiDSDR4 J115445.051-002649.19,1.116982321051017,-1
KiDSDR4 J224121.620-282007.01,2.6644542653797774,-1
KiDSDR4 J024115.701-283111.82,2.106797120819438,-1
KiDSDR4 J021220.135-280457.80,1.1071524626315503,-1
KiDSDR4 J084359.309+013354.32,2.1323620614418486,-1
KiDSDR4 J020951.237-282218.39,2.7454974628164925,-1
KiDSDR4 J131812.956+020054.49,1.7439542683139917,-1
KiDSDR4 J021133.714-275537.87,1.4450206157559933,-1
KiDSDR4 J021203.923-280810.08,0.8697127978282195,-1
KiDSDR4 J084533.004+014824.17,1.4376260136697223,-1
KiDSDR4 J084405.612+013853.19,1.721540331622389,-1
KiDSDR4 J220644.865-293410.80,2.1082616814742337,-1
KiDSDR4 J084505.119+011433.56,1.7231872851020502,-1
KiDSDR4 J110719.330-002424.44,0.811435420760087,-1
KiDSDR4 J110708.339-001019.72,2.425077669528954,-1
KiDSDR4 J115530.743-003214.62,3.3790530056586667,0
KiDSDR4 J110902.238-003504.50,0.39785809076153794,-1
KiDSDR4 J024236.353-282759.34,0.7873027411569634,-1
KiDSDR4 J033042.745-290524.56,1.7330712501501506,-1
KiDSDR4 J033115.183-285923.28,2.3504456887805176,-1
KiDSDR4 J220746.489-293730.50,4.750002656392551,0
KiDSDR4 J224321.694-283446.13,2.2279032414916426,-1
KiDSDR4 J024122.758-283952.50,3.405197606788907,0
KiDSDR4 J224125.858-282128.85,2.5495309047700303,-1
KiDSDR4 J110911.693-000544.60,4.365333084706199,0
KiDSDR4 J224414.195-283603.09,0.25115810980877723,-1
KiDSDR4 J023829.947-285251.97,2.1931805746207145,-1
KiDSDR4 J115659.096-001740.54,1.7538477128118684,-1
KiDSDR4 J220439.902-285222.65,0.6983691308719653,-1
KiDSDR4 J115754.626-005815.18,2.6344404348026127,-1
KiDSDR4 J224229.463-280041.65,2.006208387596829,-1
KiDSDR4 J220528.359-290238.34,2.128484689036129,-1
KiDSDR4 J110945.957-001417.02,1.1677768180205246,-1
KiDSDR4 J024141.435-274903.92,1.3305736369174697,-1
KiDSDR4 J220403.533-290055.15,1.877088729196241,-1
KiDSDR4 J224121.713-274643.20,2.4395425258211434,-1
KiDSDR4 J224226.489-283854.34,0.7291505015968517,-1
KiDSDR4 J115641.584-000450.78,0.9943150082804202,-1
KiDSDR4 J221339.008-331156.34,1.337349251692538,-1
KiDSDR4 J033100.348-284335.39,3.116334536155894,-1
KiDSDR4 J111253.976+001044.65,2.088006328402779,-1
KiDSDR4 J033025.771-284626.03,1.0471397817438712,-1
KiDSDR4 J084420.575+010901.36,2.3476900582807816,-1
KiDSDR4 J033032.650-293609.55,2.1216189720253498,-1
KiDSDR4 J021035.196-282312.99,2.3689566324778957,-1
KiDSDR4 J220802.385-293205.54,1.726877497822932,-1
KiDSDR4 J023755.571-291012.13,1.6986861968881277,-1
