,score,human_label
KiDSDR4 J115644.296-005226.86,2.7284461699742555,-1
KiDSDR4 J021225.708-282314.82,1.1040259000854495,-1
KiDSDR4 J024303.533-281134.36,1.0116461079635024,-1
KiDSDR4 J024248.358-283909.48,0.9762387292850631,-1
KiDSDR4 J220750.730-293547.25,0.7737326761754427,-1
KiDSDR4 J024125.898-283014.05,2.245860128721926,-1
KiDSDR4 J084251.058+015154.81,3.2243842657156483,0
KiDSDR4 J023822.986-292922.39,1.272904326850254,-1
KiDSDR4 J024323.620-275404.57,1.184164792065206,-1
KiDSDR4 J231645.663-292343.20,2.2202780449316495,-1
KiDSDR4 J220706.448-284443.27,1.7398414685501182,-1
KiDSDR4 J224344.908-284053.12,1.9052552984875348,-1
KiDSDR4 J020927.342-275020.65,1.1590062096840585,-1
KiDSDR4 J131837.250+020800.74,2.4231976433220903,-1
KiDSDR4 J131741.695+021420.01,1.5539466461054736,-1
KiDSDR4 J023834.933-291455.41,0.9501355893120088,-1
KiDSDR4 J084448.911+010001.45,1.4614930316952728,-1
KiDSDR4 J224204.985-283752.31,2.213156401293277,-1
KiDSDR4 J024413.862-274518.27,0.8848402500750833,-1
KiDSDR4 J220646.322-290422.44,1.9356711943615699,-1
KiDSDR4 J144232.511+001730.68,1.3856759216641714,-1
KiDSDR4 J220718.676-293019.85,1.3359353561507543,-1
KiDSDR4 J020939.941-283244.29,3.058380460505168,0
KiDSDR4 J020857.917-275951.98,1.5935603018625426,-1
KiDSDR4 J000820.374-342718.99,3.4544630648946124,5
KiDSDR4 J110950.407-005936.20,1.3087892885387413,-1
KiDSDR4 J233105.551-335829.71,1.0744533565099132,-1
KiDSDR4 J024301.595-283124.58,2.9465377111873696,0
KiDSDR4 J110723.178-005411.10,2.292672562523339,-1
KiDSDR4 J110629.672-003931.31,0.6166399957248369,-1
KiDSDR4 J115517.423-004031.71,2.4599833925088816,-1
KiDSDR4 J115445.051-002649.19,1.037228794723218,-1
KiDSDR4 J224121.620-282007.01,2.554398686481356,-1
KiDSDR4 J024115.701-283111.82,2.192986734443473,-1
KiDSDR4 J021220.135-280457.80,1.6962270341810521,-1
KiDSDR4 J084359.309+013354.32,1.7935423291202985,-1
KiDSDR4 J020951.237-282218.39,2.085436088312342,-1
KiDSDR4 J131812.956+020054.49,1.1750131793892413,-1
KiDSDR4 J021133.714-275537.87,1.3758133626003477,-1
KiDSDR4 J021203.923-280810.08,0.9245902519200191,-1
KiDSDR4 J084533.004+014824.17,1.355363716657131,-1
KiDSDR4 J084405.612+013853.19,1.9636758986881784,-1
