KIDS_TILE,KIDS_ID,prob,LABEL_TE,model,FOLDER,RAJ2000,DECJ2000
KIDS_40.6_-28.2,KiDSDR4 J024305.261-281336.56,0.8947740793228149,0.0,lens_15_KIDS_40.6_-28.2,,,
KIDS_40.6_-28.2,KiDSDR4 J024221.979-274958.15,0.9262170791625975,0.0,lens_15_KIDS_40.6_-28.2,,,
KIDS_340.8_-28.2,KiDSDR4 J224107.170-281237.73,0.9577488899230956,0.0,lens_15_KIDS_340.8_-28.2,,,
KIDS_179.0_-0.5,KiDSDR4 J115415.300-005110.70,0.94926780462265,0.0,lens_15_KIDS_179.0_-0.5,,,
KIDS_331.5_-29.2,KiDSDR4 J220520.199-284511.34,0.8755987882614136,0.0,lens_15_KIDS_331.5_-29.2,,,
KIDS_331.5_-29.2,KiDSDR4 J220700.527-292059.77,0.8543227910995483,0.0,lens_15_KIDS_331.5_-29.2,,,
KIDS_167.0_-0.5,KiDSDR4 J110939.237-001016.97,0.9963042736053468,0.0,lens_15_KIDS_167.0_-0.5,,,
KIDS_199.6_2.5,KiDSDR4 J131725.310+024249.61,0.9999481439590454,0.0,lens_15_KIDS_199.6_2.5,,,
KIDS_179.0_-0.5,KiDSDR4 J115613.057-004113.50,0.9999781847000122,0.0,lens_15_KIDS_179.0_-0.5,,,
KIDS_17.1_-29.2,KiDSDR4 J010649.164-284137.90,,1.0,,/home/grespanm/Data/lenses_KiDS,16.704852,-28.693863
KIDS_331.5_-29.2,KiDSDR4 J220659.070-285701.65,0.996417760848999,0.0,lens_15_KIDS_331.5_-29.2,,,
KIDS_199.6_2.5,KiDSDR4 J131910.637+023226.63,0.8001255989074707,0.0,lens_15_KIDS_199.6_2.5,,,
KIDS_40.6_-28.2,KiDSDR4 J024129.869-275057.58,0.9999783039093018,0.0,lens_15_KIDS_40.6_-28.2,,,
KIDS_340.8_-28.2,KiDSDR4 J224110.796-281449.82,0.9759432673454284,0.0,lens_15_KIDS_340.8_-28.2,,,
KIDS_179.0_-0.5,KiDSDR4 J115609.890-002312.72,0.994543433189392,0.0,lens_15_KIDS_179.0_-0.5,,,
KIDS_331.5_-29.2,KiDSDR4 J220453.784-292113.38,0.9999862909317015,0.0,lens_15_KIDS_331.5_-29.2,,,
KIDS_40.6_-28.2,KiDSDR4 J024315.633-280655.76,0.871443510055542,0.0,lens_15_KIDS_40.6_-28.2,,,
KIDS_40.6_-28.2,KiDSDR4 J024129.006-283721.84,0.913699507713318,0.0,lens_15_KIDS_40.6_-28.2,,,
KIDS_331.5_-29.2,KiDSDR4 J220614.795-284948.26,0.9998403191566468,0.0,lens_15_KIDS_331.5_-29.2,,,
KIDS_40.6_-28.2,KiDSDR4 J024151.573-280559.64,0.9993228912353516,0.0,lens_15_KIDS_40.6_-28.2,,,
KIDS_52.4_-29.2,KiDSDR4 J033122.357-284706.40,0.9751773476600648,0.0,lens_15_KIDS_52.4_-29.2,,,
KIDS_161.0_0.5,KiDSDR4 J104223.370+001519.82,,1.0,,/home/grespanm/Data/lenses_KiDS,160.597376,0.255506
KIDS_169.5_-2.5,KiDSDR4 J111555.997-025204.81,,1.0,,/home/grespanm/Data/lenses_KiDS,168.983322,-2.868003
KIDS_179.0_-0.5,KiDSDR4 J115614.536-002013.70,0.9997459650039672,0.0,lens_15_KIDS_179.0_-0.5,,,
KIDS_179.0_-0.5,KiDSDR4 J115715.191-002913.54,0.9923235774040222,0.0,lens_15_KIDS_179.0_-0.5,,,
KIDS_199.6_2.5,KiDSDR4 J131729.226+020630.70,0.8846938610076904,0.0,lens_15_KIDS_199.6_2.5,,,
KIDS_331.5_-29.2,KiDSDR4 J220541.003-285851.47,0.9994293451309204,0.0,lens_15_KIDS_331.5_-29.2,,,
KIDS_32.7_-28.2,KiDSDR4 J021236.290-280432.46,0.9727776646614076,0.0,lens_15_KIDS_32.7_-28.2,,,
KIDS_179.0_-0.5,KiDSDR4 J115408.742-003034.62,0.9698933959007264,0.0,lens_15_KIDS_179.0_-0.5,,,
KIDS_331.5_-29.2,KiDSDR4 J220718.676-293019.85,0.8237488269805908,0.0,lens_15_KIDS_331.5_-29.2,,,
KIDS_179.0_-0.5,KiDSDR4 J115407.053-005821.59,0.9969021081924438,0.0,lens_15_KIDS_179.0_-0.5,,,
KIDS_39.9_-29.2,KiDSDR4 J023931.792-290524.48,0.9161827564239502,0.0,lens_15_KIDS_39.9_-29.2,,,
KIDS_331.5_-29.2,KiDSDR4 J220514.874-292723.88,0.999842405319214,0.0,lens_15_KIDS_331.5_-29.2,,,
